Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;BBBoLong;F1;2;Long;17/01/2008 13:40:00;1661,4;17/01/2008 22:35:00;1651,6;-1960,00000000004;0;2060,00000000004;939,999999999964
2;GC;BBBoLong;F1;2;Long;01/02/2008 10:05:00;1701,9;01/02/2008 20:25:00;1676,9;-5000;0;5000;1759,99999999999
3;GC;BBBoLong;F1;2;Long;06/02/2008 10:15:00;1667,1;06/02/2008 22:35:00;1672,8;1140,00000000001;0;739,999999999964;2760,00000000004
4;GC;BBBoLong;F1;2;Long;13/02/2008 17:25:00;1680;13/02/2008 22:35:00;1677,4;-519,999999999982;0;800;680,000000000018
5;GC;BBBoLong;F1;2;Long;25/02/2008 10:10:00;1722,3;25/02/2008 22:35:00;1711,1;-2240,00000000001;0;3579,99999999997;300
6;GC;BBBoLong;F1;2;Long;26/02/2008 16:20:00;1710,6;26/02/2008 22:35:00;1720,4;1960,00000000004;0;400;2300
7;GC;BBBoLong;F1;2;Long;05/03/2008 14:30:00;1738,8;05/03/2008 22:35:00;1759,2;4080,00000000002;0;459,999999999991;5059,99999999999
8;GC;BBBoLong;F1;2;Long;07/03/2008 14:20:00;1755,6;07/03/2008 22:35:00;1744,1;-2300;0;3079,99999999997;800
9;GC;BBBoLong;F1;2;Long;10/03/2008 9:05:00;1748,2;10/03/2008 21:35:00;1742,1;-1220,00000000003;0;3480,00000000002;700
10;GC;BBBoLong;F1;2;Long;11/03/2008 10:30:00;1746,3;11/03/2008 21:35:00;1742,8;-700;0;2279,99999999997;2080,00000000002
11;GC;BBBoLong;F1;2;Long;18/03/2008 12:25:00;1778,3;18/03/2008 20:15:00;1753,3;-5000;0;5000;800
12;GC;BBBoLong;F1;2;Long;24/03/2008 14:10:00;1691,1;24/03/2008 21:35:00;1683,8;-1459,99999999999;0;2339,99999999996;1060,00000000004
13;GC;BBBoLong;F1;1;Long;25/03/2008 9:15:00;1699,2;25/03/2008 21:35:00;1707,8;859,999999999991;0;540,000000000009;889,999999999986
14;GC;BBBoLong;F1;2;Long;31/03/2008 9:30:00;1704,6;31/03/2008 22:35:00;1684,2;-4079,99999999997;0;4879,99999999997;840,000000000009
15;GC;BBBoLong;F1;2;Long;02/04/2008 10:50:00;1657,8;02/04/2008 22:35:00;1672;2840,00000000001;0;1919,99999999998;3359,99999999999
16;GC;BBBoLong;F1;1;Long;09/04/2008 16:30:00;1687,2;09/04/2008 22:35:00;1701,5;1430;0;150;1550
17;GC;BBBoLong;F1;1;Long;11/04/2008 14:25:00;1696,7;11/04/2008 22:35:00;1691,5;-520,000000000005;0;1290,00000000001;220,000000000005
18;GC;BBBoLong;F1;2;Long;18/04/2008 9:55:00;1712,1;18/04/2008 14:00:00;1687,1;-5000;0;5000;160,000000000036
19;GC;BBBoLong;F1;2;Long;22/04/2008 9:50:00;1684,1;22/04/2008 22:35:00;1682,8;-259,999999999991;0;900;1500
20;GC;BBBoLong;F1;2;Long;25/04/2008 15:05:00;1657,6;25/04/2008 22:35:00;1650,7;-1379,99999999997;0;1659,99999999999;900
21;GC;BBBoLong;F1;2;Long;30/04/2008 20:50:00;1641,4;30/04/2008 22:35:00;1642,5;219,999999999982;0;600;500
22;GC;BBBoLong;F1;2;Long;02/05/2008 10:10:00;1618,6;02/05/2008 22:35:00;1621,1;500;0;1819,99999999998;1080,00000000002
23;GC;BBBoLong;F1;2;Long;08/05/2008 10:50:00;1635,2;08/05/2008 22:35:00;1646;2159,99999999999;0;540,000000000009;2979,99999999997
24;GC;BBBoLong;F1;2;Long;14/05/2008 14:30:00;1632,9;14/05/2008 22:35:00;1627,8;-1020,00000000003;0;1300;379,999999999973
25;GC;BBBoLong;F1;2;Long;15/05/2008 9:05:00;1631,9;15/05/2008 22:35:00;1643,7;2359,99999999999;0;840,000000000009;3939,99999999996
26;GC;BBBoLong;F1;2;Long;23/05/2008 9:55:00;1685,8;23/05/2008 22:35:00;1687,2;280,000000000018;0;459,999999999991;1359,99999999999
27;GC;BBBoLong;F1;2;Long;30/05/2008 12:40:00;1643,8;30/05/2008 22:35:00;1649,3;1100;0;279,999999999973;1600
28;GC;BBBoLong;F1;2;Long;04/06/2008 14:05:00;1645,1;04/06/2008 22:35:00;1640,7;-879,999999999973;0;939,999999999964;800
29;GC;BBBoLong;F1;2;Long;06/06/2008 8:50:00;1644,7;06/06/2008 22:35:00;1664,3;3919,99999999998;0;880,000000000018;3959,99999999999
30;GC;BBBoLong;F1;2;Long;11/06/2008 9:35:00;1637,5;11/06/2008 22:35:00;1642,5;1000;0;959,999999999991;1480,00000000002
31;GC;BBBoLong;F1;2;Long;24/06/2008 9:25:00;1648,8;24/06/2008 22:35:00;1650,2;280,000000000018;0;1079,99999999997;1340,00000000001
32;GC;BBBoLong;F1;2;Long;26/06/2008 11:40:00;1652,8;26/06/2008 20:50:00;1678,3;5100;0;400;5100
33;GC;BBBoLong;F1;2;Long;01/07/2008 10:05:00;1689,2;01/07/2008 22:35:00;1699,3;2019,99999999998;0;380,000000000018;3619,99999999998
34;GC;BBBoLong;F1;2;Long;07/07/2008 19:50:00;1690,3;07/07/2008 22:35:00;1686,5;-759,999999999991;0;1240,00000000001;0
35;GC;BBBoLong;F1;2;Long;08/07/2008 8:00:00;1691,3;08/07/2008 22:35:00;1680,6;-2140,00000000001;0;3859,99999999999;600
36;GC;BBBoLong;F1;2;Long;09/07/2008 8:10:00;1683,8;09/07/2008 22:35:00;1688,6;959,999999999991;0;1440,00000000001;1140,00000000001
37;GC;BBBoLong;F1;2;Long;17/07/2008 16:05:00;1727,2;17/07/2008 22:35:00;1716,3;-2180,00000000002;0;2580,00000000002;2359,99999999999
38;GC;BBBoLong;F1;2;Long;21/07/2008 9:40:00;1721,3;21/07/2008 22:35:00;1724,6;659,999999999991;0;759,999999999991;1340,00000000001
39;GC;BBBoLong;F1;2;Long;24/07/2008 11:40:00;1687,6;24/07/2008 22:35:00;1687,3;-59,9999999999909;0;2539,99999999996;560,000000000036
40;GC;BBBoLong;F1;2;Long;13/08/2008 8:45:00;1576,9;13/08/2008 22:35:00;1583;1219,99999999998;0;1500;1819,99999999998
41;GC;BBBoLong;F1;2;Long;18/08/2008 3:45:00;1553,1;18/08/2008 22:35:00;1554,7;320,000000000027;0;1619,99999999998;1280,00000000002
42;GC;BBBoLong;F1;2;Long;21/08/2008 8:25:00;1575,1;21/08/2008 22:35:00;1591,3;3240,00000000001;0;539,999999999964;3900
43;GC;BBBoLong;F1;2;Long;25/08/2008 14:50:00;1579,6;25/08/2008 22:35:00;1576,5;-619,999999999982;0;1379,99999999997;380,000000000018
44;GC;BBBoLong;F1;2;Long;26/08/2008 16:20:00;1582,1;26/08/2008 22:35:00;1579,4;-539,999999999964;0;1279,99999999997;700
