Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;CuBoShort;Qa3F1Tf3;5;Short;15/01/2008 18:35:00;1676,7;15/01/2008 22:10:00;1666,5;5100,00000000002;0;949,999999999932;5100,00000000002
2;GC;CuBoShort;Qa3F1Tf3;5;Short;16/01/2008 17:05:00;1652,2;16/01/2008 20:40:00;1662,2;-5000;0;5000;1050,00000000007
3;GC;CuBoShort;Qa3F1Tf3;5;Short;22/02/2008 16:35:00;1710,4;22/02/2008 18:25:00;1720,4;-5000;0;5000;1700,00000000005
4;GC;CuBoShort;Qa3F1Tf3;5;Short;04/03/2008 17:35:00;1741,6;04/03/2008 19:55:00;1731,4;5099,99999999991;0;200,000000000045;5099,99999999991
5;GC;CuBoShort;Qa3F1Tf3;5;Short;18/03/2008 20:05:00;1758,2;18/03/2008 20:45:00;1748;5100,00000000002;0;850,000000000023;5100,00000000002
6;GC;CuBoShort;Qa3F1Tf3;5;Short;19/03/2008 17:05:00;1713,2;19/03/2008 21:35:00;1713,9;-350,000000000023;0;2600,00000000002;3399,99999999998
7;GC;CuBoShort;Qa3F1Tf3;5;Short;24/04/2008 17:35:00;1654,4;24/04/2008 22:35:00;1651,5;1450,00000000005;0;1000;2950,00000000005
8;GC;CuBoShort;Qa3F1Tf3;5;Short;29/04/2008 18:35:00;1637,6;29/04/2008 22:35:00;1636,6;500;0;1650,00000000009;2099,99999999991
9;GC;CuBoShort;Qa3F1Tf3;5;Short;01/05/2008 16:35:00;1615,2;01/05/2008 22:35:00;1616,9;-850,000000000023;0;1399,99999999998;1800,00000000007
10;GC;CuBoShort;Qa3F1Tf3;5;Short;22/05/2008 16:35:00;1681,5;22/05/2008 22:35:00;1684,4;-1450,00000000005;0;3100,00000000002;649,999999999977
11;GC;CuBoShort;Qa3F1Tf3;5;Short;29/05/2008 18:05:00;1637,8;29/05/2008 22:45:00;1639,7;-950,000000000045;0;1649,99999999998;1299,99999999995
12;GC;CuBoShort;Qa3F1Tf3;5;Short;08/07/2008 17:05:00;1676,6;08/07/2008 22:35:00;1680,6;-2000;0;4200,00000000005;2299,99999999995
13;GC;CuBoShort;Qa3F1Tf3;5;Short;16/07/2008 17:05:00;1726,7;16/07/2008 22:35:00;1719,5;3600,00000000002;0;49,9999999999545;4750
14;GC;CuBoShort;Qa3F1Tf3;5;Short;29/07/2008 16:35:00;1677,3;29/07/2008 22:35:00;1677,4;-50,0000000000682;0;450,000000000045;2399,99999999998
15;GC;CuBoShort;Qa3F1Tf3;5;Short;11/08/2008 18:05:00;1596,1;11/08/2008 18:20:00;1585,9;5099,99999999991;0;150,000000000091;5099,99999999991
16;GC;CuBoShort;Qa3F1Tf3;5;Short;14/08/2008 18:05:00;1567,7;14/08/2008 22:35:00;1561;3350,00000000002;0;799,999999999955;3800,00000000007
17;GC;CuBoShort;Qa3F1Tf3;5;Short;20/08/2008 17:05:00;1558,9;20/08/2008 20:25:00;1568,9;-5000;0;5000;2050,00000000007
18;GC;CuBoShort;Qa3F1Tf3;4;Short;25/09/2008 16:35:00;1624;25/09/2008 22:35:00;1632,6;-3439,99999999996;0;3839,99999999996;2239,99999999996
