Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;CuBoLong;F1Tf4;2;Long;05/03/2008 17:05:00;1753,9;05/03/2008 22:35:00;1759,2;1059,99999999999;0;0;2039,99999999996
2;GC;CuBoLong;F1Tf4;1;Long;25/03/2008 19:05:00;1705,9;25/03/2008 21:35:00;1707,8;189,999999999986;0;250;219,999999999982
3;GC;CuBoLong;F1Tf4;2;Long;02/04/2008 20:05:00;1664,5;02/04/2008 22:35:00;1672;1500;0;59,9999999999909;2019,99999999998
4;GC;CuBoLong;F1Tf4;1;Long;03/04/2008 18:05:00;1674,6;03/04/2008 22:35:00;1670,7;-389,999999999986;0;500;130,000000000018
5;GC;CuBoLong;F1Tf4;1;Long;04/04/2008 21:05:00;1681,6;04/04/2008 22:35:00;1680,8;-79,9999999999955;0;139,999999999986;10,0000000000136
6;GC;CuBoLong;F1Tf4;1;Long;07/04/2008 17:05:00;1694,8;07/04/2008 22:35:00;1687,1;-770,000000000005;0;820,000000000005;200
7;GC;CuBoLong;F1Tf4;1;Long;09/04/2008 17:05:00;1692,9;09/04/2008 22:35:00;1701,5;859,999999999991;0;230,000000000018;979,999999999995
8;GC;CuBoLong;F1Tf4;2;Long;30/04/2008 21:05:00;1642,9;30/04/2008 22:35:00;1642,5;-80,0000000000182;0;900;39,9999999999636
9;GC;CuBoLong;F1Tf4;2;Long;05/05/2008 20:05:00;1637,1;05/05/2008 22:35:00;1638,6;300;0;400;400
10;GC;CuBoLong;F1Tf4;2;Long;08/05/2008 17:05:00;1645;08/05/2008 22:35:00;1646;200;0;59,9999999999909;1019,99999999998
11;GC;CuBoLong;F1Tf4;2;Long;15/05/2008 17:05:00;1650,6;15/05/2008 22:35:00;1643,7;-1379,99999999997;0;2500;120,000000000027
12;GC;CuBoLong;F1Tf4;2;Long;16/05/2008 17:05:00;1667,5;16/05/2008 22:35:00;1666,1;-280,000000000018;0;1419,99999999998;240,000000000009
13;GC;CuBoLong;F1Tf4;2;Long;20/05/2008 17:05:00;1681,2;20/05/2008 22:35:00;1682,9;340,000000000009;0;240,000000000009;1200
14;GC;CuBoLong;F1Tf4;2;Long;21/05/2008 18:05:00;1691,3;21/05/2008 22:35:00;1695,3;800;0;579,999999999973;959,999999999991
15;GC;CuBoLong;F1Tf4;2;Long;02/06/2008 18:05:00;1659,4;02/06/2008 22:35:00;1653,7;-1140,00000000001;0;1220,00000000003;159,999999999991
16;GC;CuBoLong;F1Tf4;2;Long;06/06/2008 18:05:00;1659,2;06/06/2008 22:35:00;1664,3;1019,99999999998;0;800;1059,99999999999
17;GC;CuBoLong;F1Tf4;2;Long;17/07/2008 17:05:00;1729,7;17/07/2008 22:35:00;1716,3;-2680,00000000002;0;3080,00000000002;1859,99999999999
18;GC;CuBoLong;F1Tf4;2;Long;13/08/2008 18:05:00;1584,9;13/08/2008 22:35:00;1583;-380,000000000018;0;1420,00000000003;219,999999999982
19;GC;CuBoLong;F1Tf4;2;Long;19/08/2008 18:05:00;1568;19/08/2008 22:35:00;1568,9;180,000000000018;0;959,999999999991;900
20;GC;CuBoLong;F1Tf4;2;Long;21/08/2008 17:05:00;1592,5;21/08/2008 22:35:00;1591,3;-240,000000000009;0;1400;240,000000000009
21;GC;CuBoLong;F1Tf4;2;Long;26/08/2008 17:05:00;1581,6;26/08/2008 22:35:00;1579,4;-439,999999999964;0;1179,99999999997;460,000000000036
22;GC;CuBoLong;F1Tf4;2;Long;17/09/2008 17:05:00;1580,4;17/09/2008 19:35:00;1605,9;5100;0;0;5100
23;GC;CuBoLong;F1Tf4;2;Long;18/09/2008 19:05:00;1653;18/09/2008 21:10:00;1628;-5000;0;5000;4519,99999999998
24;GC;CuBoLong;F1Tf4;1;Long;22/09/2008 20:05:00;1656,3;22/09/2008 22:35:00;1657,6;129,999999999995;0;479,999999999995;710,000000000014
