Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;Friday;F1;2;Long;01/02/2008 3:05:00;1699,3;01/02/2008 22:35:00;1678,1;-4240,00000000001;0;4479,99999999997;2280,00000000002
2;GC;Friday;F1;2;Long;07/03/2008 3:05:00;1752,6;07/03/2008 22:35:00;1744,1;-1700;0;2479,99999999997;1400
3;GC;Friday;F1;1;Long;28/03/2008 2:05:00;1715,2;31/03/2008 0:05:00;1699,5;-1570;0;2450;50
4;GC;Friday;F1;1;Long;11/04/2008 3:05:00;1691,4;11/04/2008 22:35:00;1691,5;9,99999999999091;0;760,000000000014;750
5;GC;Friday;F1;2;Long;18/04/2008 3:05:00;1707,1;18/04/2008 14:25:00;1682,1;-5000;0;5000;1160,00000000004
6;GC;Friday;F1;2;Long;25/04/2008 3:05:00;1651,5;25/04/2008 22:35:00;1650,7;-159,999999999991;0;1680,00000000002;2119,99999999998
7;GC;Friday;F1;2;Long;02/05/2008 3:05:00;1614,6;02/05/2008 22:35:00;1621,1;1300;0;1019,99999999998;1880,00000000002
8;GC;Friday;F1;2;Long;23/05/2008 3:05:00;1681,3;23/05/2008 22:35:00;1687,2;1180,00000000002;0;700;2259,99999999999
9;GC;Friday;F1;2;Long;30/05/2008 3:05:00;1642,5;30/05/2008 22:35:00;1649,3;1359,99999999999;0;2100;1859,99999999999
10;GC;Friday;F1;2;Long;06/06/2008 3:05:00;1640,2;06/06/2008 22:35:00;1664,3;4819,99999999998;0;80,0000000000182;4859,99999999999
11;GC;Friday;F1;2;Long;13/06/2008 3:05:00;1633,1;13/06/2008 22:35:00;1631;-419,999999999982;0;2519,99999999998;520,000000000027
12;GC;Friday;F1;2;Long;04/07/2008 3:05:00;1693,9;04/07/2008 14:10:00;1692,5;-280,000000000018;0;820,000000000027;679,999999999973
13;GC;Friday;F1;2;Long;18/07/2008 3:05:00;1715;18/07/2008 22:35:00;1714,3;-140,000000000009;0;1159,99999999999;1800
14;GC;Friday;F1;2;Long;15/08/2008 3:05:00;1547,6;15/08/2008 22:35:00;1541,1;-1300;0;4059,99999999999;1600
15;GC;Friday;F1;2;Long;12/09/2008 3:05:00;1503,3;12/09/2008 22:35:00;1518,7;3080,00000000002;0;900;3359,99999999999
16;GC;Friday;F1;1;Long;19/09/2008 3:05:00;1610,9;19/09/2008 22:35:00;1625,9;1500;0;3280,00000000002;2009,99999999999
17;GC;Friday;F1;1;Long;26/09/2008 3:05:00;1636,1;26/09/2008 22:35:00;1635,1;-100;0;1530;3360,00000000001
18;GC;Friday;F1;1;Long;03/10/2008 3:05:00;1586,2;03/10/2008 22:35:00;1589,4;320,000000000005;0;1410,00000000001;1609,99999999999
19;GC;Friday;F1;1;Long;17/10/2008 3:05:00;1557,2;17/10/2008 22:35:00;1535,1;-2210,00000000001;0;3540,00000000001;929,999999999995
20;GC;Friday;F1;1;Long;24/10/2008 3:05:00;1475,2;24/10/2008 22:35:00;1483;779,999999999995;0;4460,00000000001;2480
21;GC;Friday;F1;1;Long;31/10/2008 2:05:00;1481,1;31/10/2008 21:35:00;1472,9;-819,999999999982;0;1439,99999999999;1020
22;GC;Friday;F1;1;Long;07/11/2008 3:05:00;1479,2;07/11/2008 22:35:00;1484,8;559,999999999991;0;150;1530
23;GC;Friday;F1;1;Long;05/12/2008 3:05:00;1515,9;05/12/2008 22:35:00;1501,8;-1410,00000000001;0;2800;409,999999999991
24;GC;Friday;F1;1;Long;19/12/2008 3:05:00;1597,6;19/12/2008 22:35:00;1585,4;-1219,99999999998;0;2080;370,000000000005
25;GC;Friday;F1;1;Long;20/02/2009 3:05:00;1719,4;20/02/2009 22:35:00;1738;1859,99999999999;0;340,000000000009;3280
26;GC;Friday;F1;1;Long;27/02/2009 3:05:00;1685,2;27/02/2009 22:35:00;1690;479,999999999995;0;1370;2330
27;GC;Friday;F1;2;Long;01/05/2009 3:05:00;1627,1;01/05/2009 22:35:00;1628,4;260,000000000036;0;879,999999999973;1180,00000000002
28;GC;Friday;F1;2;Long;08/05/2009 3:05:00;1656,1;08/05/2009 22:35:00;1658,1;400;0;1679,99999999997;1420,00000000003
29;GC;Friday;F1;3;Long;15/05/2009 3:05:00;1668,2;15/05/2009 22:35:00;1674,1;1769,99999999996;0;570,000000000027;2639,99999999999
30;GC;Friday;F1;3;Long;03/07/2009 3:05:00;1673,4;03/07/2009 14:10:00;1674,3;269,999999999959;0;540,000000000055;509,999999999945
31;GC;Friday;F1;3;Long;17/07/2009 3:05:00;1677,6;17/07/2009 22:35:00;1677,8;60,0000000000136;0;1559,99999999995;900
32;GC;Friday;F1;3;Long;24/07/2009 3:05:00;1689,4;24/07/2009 22:35:00;1691,9;750;0;480,000000000041;1739,99999999999
33;GC;Friday;F1;4;Long;21/08/2009 3:05:00;1679,3;21/08/2009 14:25:00;1692,1;5119,99999999998;0;600;5119,99999999998
34;GC;Friday;F1;2;Long;16/10/2009 3:05:00;1792,4;16/10/2009 22:35:00;1792;-80,0000000000182;0;2020,00000000003;819,999999999982
35;GC;Friday;F1;2;Long;06/11/2009 3:05:00;1828,8;06/11/2009 22:35:00;1834,3;1100;0;740,000000000009;2340,00000000001
36;GC;Friday;F1;3;Long;13/11/2009 3:05:00;1841,8;13/11/2009 22:35:00;1857,7;4770,00000000003;0;60,0000000000136;4950
37;GC;Friday;F1;2;Long;04/12/2009 3:05:00;1942,1;04/12/2009 16:45:00;1917,1;-5000;0;5000;1800
38;GC;Friday;F1;2;Long;18/12/2009 3:05:00;1843,2;18/12/2009 22:35:00;1850,5;1459,99999999999;0;1720,00000000003;2419,99999999998
39;GC;Friday;F1;2;Long;08/01/2010 3:05:00;1862,7;08/01/2010 22:35:00;1874,3;2319,99999999998;0;1200;2900
40;GC;Friday;F1;2;Long;22/01/2010 3:05:00;1831,3;22/01/2010 22:35:00;1831,2;-19,9999999999818;0;2440,00000000001;959,999999999991
41;GC;Friday;F1;2;Long;29/01/2010 3:05:00;1819,9;29/01/2010 22:35:00;1818;-380,000000000018;0;1760,00000000004;1519,99999999998
