Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;GannBoLong;;2;Long;15/01/2008 16:10:00;1690,5;15/01/2008 22:15:00;1665,5;-5000;0;5000;40,0000000000091
2;GC;GannBoLong;;2;Long;01/02/2008 10:10:00;1702,2;01/02/2008 20:25:00;1677,2;-5000;0;5000;1700
3;GC;GannBoLong;;2;Long;07/02/2008 7:35:00;1680,9;07/02/2008 22:35:00;1682;219,999999999982;0;2380,00000000002;639,999999999964
4;GC;GannBoLong;;2;Long;08/02/2008 9:45:00;1684,9;08/02/2008 22:35:00;1694,7;1959,99999999999;0;600;2100
5;GC;GannBoLong;;2;Long;11/02/2008 9:55:00;1696,7;11/02/2008 22:35:00;1696,7;0;0;1640,00000000001;640,000000000009
6;GC;GannBoLong;;2;Long;15/02/2008 14:50:00;1686,2;15/02/2008 22:35:00;1674,4;-2359,99999999999;0;3340,00000000001;340,000000000009
7;GC;GannBoLong;;2;Long;19/02/2008 11:25:00;1687,9;19/02/2008 22:35:00;1699,9;2400;0;300;3059,99999999999
8;GC;GannBoLong;;2;Long;20/02/2008 18:35:00;1703,2;20/02/2008 22:35:00;1716,1;2579,99999999997;0;320,000000000027;2979,99999999997
9;GC;GannBoLong;;2;Long;21/02/2008 9:40:00;1718,1;21/02/2008 22:35:00;1716,5;-319,999999999982;0;900;1840,00000000001
10;GC;GannBoLong;;2;Long;28/02/2008 17:00:00;1736,6;28/02/2008 22:35:00;1742,4;1160,00000000004;0;579,999999999973;1460,00000000004
11;GC;GannBoLong;;2;Long;29/02/2008 6:20:00;1744,9;29/02/2008 22:35:00;1743,9;-200;0;1960,00000000004;500
12;GC;GannBoLong;;2;Long;03/03/2008 14:55:00;1756,2;03/03/2008 22:35:00;1754,5;-340,000000000009;0;1159,99999999999;919,999999999982
13;GC;GannBoLong;;2;Long;05/03/2008 17:25:00;1760,8;05/03/2008 22:35:00;1759,2;-319,999999999982;0;1259,99999999999;659,999999999991
14;GC;GannBoLong;;2;Long;13/03/2008 8:40:00;1758,1;13/03/2008 21:35:00;1764,5;1280,00000000002;0;300;2460,00000000004
15;GC;GannBoLong;;2;Long;14/03/2008 15:05:00;1770,4;14/03/2008 21:35:00;1770,8;79,9999999999727;0;980,000000000018;1500
16;GC;GannBoLong;;1;Long;25/03/2008 17:30:00;1705,3;25/03/2008 21:35:00;1707,8;250;0;309,999999999991;279,999999999995
17;GC;GannBoLong;;1;Long;26/03/2008 1:15:00;1710,2;26/03/2008 21:35:00;1719,9;970,000000000005;0;660,000000000014;1089,99999999999
18;GC;GannBoLong;;1;Long;03/04/2008 17:30:00;1674,6;03/04/2008 22:35:00;1670,7;-389,999999999986;0;500;170,000000000005
19;GC;GannBoLong;;1;Long;04/04/2008 14:35:00;1676,3;04/04/2008 22:35:00;1680,8;450;0;1020;579,999999999995
20;GC;GannBoLong;;1;Long;07/04/2008 12:20:00;1684,6;07/04/2008 22:35:00;1687,1;250;0;479,999999999995;1220
21;GC;GannBoLong;;1;Long;09/04/2008 18:45:00;1696,8;09/04/2008 22:35:00;1701,5;470,000000000005;0;270,000000000005;590,000000000009
22;GC;GannBoLong;;2;Long;10/04/2008 11:45:00;1702,7;10/04/2008 22:40:00;1695,7;-1400;0;2840,00000000001;759,999999999991
23;GC;GannBoLong;;2;Long;16/04/2008 11:50:00;1702,9;16/04/2008 22:35:00;1710,9;1600;0;480,000000000018;2579,99999999997
24;GC;GannBoLong;;2;Long;17/04/2008 10:50:00;1715,8;17/04/2008 22:35:00;1704,1;-2340,00000000001;0;2479,99999999997;700
25;GC;GannBoLong;;2;Long;05/05/2008 18:00:00;1635,5;05/05/2008 22:35:00;1638,6;619,999999999982;0;359,999999999991;719,999999999982
26;GC;GannBoLong;;2;Long;06/05/2008 5:25:00;1639,8;06/05/2008 22:35:00;1640,7;180,000000000018;0;740,000000000009;1559,99999999999
27;GC;GannBoLong;;2;Long;08/05/2008 17:05:00;1647,6;08/05/2008 22:35:00;1646;-319,999999999982;0;579,999999999973;500
28;GC;GannBoLong;;2;Long;09/05/2008 9:40:00;1650,1;09/05/2008 22:35:00;1650;-19,9999999999818;0;3159,99999999999;760,000000000036
29;GC;GannBoLong;;2;Long;12/05/2008 2:40:00;1653,9;12/05/2008 22:35:00;1645,7;-1640,00000000001;0;2460,00000000004;0
30;GC;GannBoLong;;2;Long;15/05/2008 15:10:00;1644,6;15/05/2008 22:35:00;1643,7;-179,999999999973;0;1300;1400
31;GC;GannBoLong;;2;Long;16/05/2008 13:15:00;1651,6;16/05/2008 22:35:00;1666,1;2900;0;519,999999999982;3420,00000000003
32;GC;GannBoLong;;2;Long;19/05/2008 7:15:00;1669,4;19/05/2008 22:35:00;1668,9;-100;0;1100;1579,99999999997
33;GC;GannBoLong;;2;Long;20/05/2008 16:05:00;1677,3;20/05/2008 22:35:00;1682,9;1120,00000000003;0;500;1980,00000000002
34;GC;GannBoLong;;2;Long;21/05/2008 10:10:00;1687,2;21/05/2008 22:35:00;1695,3;1619,99999999998;0;1520,00000000003;1779,99999999997
35;GC;GannBoLong;;2;Long;27/05/2008 2:15:00;1692,6;27/05/2008 15:50:00;1667,6;-5000;0;5000;220,000000000027
36;GC;GannBoLong;;2;Long;06/06/2008 12:25:00;1649,1;06/06/2008 22:35:00;1664,3;3040,00000000001;0;859,999999999991;3080,00000000002
37;GC;GannBoLong;;2;Long;09/06/2008 9:35:00;1666,9;09/06/2008 22:35:00;1655,1;-2360,00000000004;0;2940,00000000001;919,999999999982
38;GC;GannBoLong;;2;Long;19/06/2008 15:00:00;1657,1;19/06/2008 22:35:00;1658,5;280,000000000018;0;600;2580,00000000002
39;GC;GannBoLong;;2;Long;26/06/2008 13:50:00;1655,5;26/06/2008 22:35:00;1678;4500;0;240,000000000009;4759,99999999999
40;GC;GannBoLong;;2;Long;27/06/2008 9:35:00;1679,3;27/06/2008 22:35:00;1689;1940,00000000001;0;379,999999999973;2540,00000000001
41;GC;GannBoLong;;2;Long;30/06/2008 9:30:00;1692;30/06/2008 22:35:00;1686;-1200;0;2559,99999999999;940,000000000009
42;GC;GannBoLong;;2;Long;01/07/2008 15:05:00;1696,7;01/07/2008 22:35:00;1699,3;519,999999999982;0;400;2119,99999999998
43;GC;GannBoLong;;2;Long;03/07/2008 13:55:00;1707,3;03/07/2008 22:35:00;1694,3;-2600;0;3959,99999999999;340,000000000009
44;GC;GannBoLong;;2;Long;10/07/2008 15:05:00;1694,3;10/07/2008 22:35:00;1707,4;2620,00000000003;0;119,999999999982;2780,00000000002
45;GC;GannBoLong;;2;Long;11/07/2008 11:20:00;1708,2;11/07/2008 22:35:00;1724,8;3319,99999999998;0;200;3979,99999999997
46;GC;GannBoLong;;2;Long;14/07/2008 16:00:00;1728,1;14/07/2008 22:35:00;1732,3;840,000000000009;0;559,999999999991;1460,00000000004
47;GC;GannBoLong;;2;Long;15/07/2008 9:35:00;1735,4;15/07/2008 22:35:00;1736,3;179,999999999973;0;1540,00000000001;2639,99999999996
48;GC;GannBoLong;;2;Long;14/08/2008 8:35:00;1590,1;14/08/2008 18:20:00;1565,1;-5000;0;5000;480,000000000018
49;GC;GannBoLong;;2;Long;19/08/2008 17:45:00;1559,5;19/08/2008 22:35:00;1568,9;1880,00000000002;0;580,000000000018;2600
50;GC;GannBoLong;;2;Long;27/08/2008 10:10:00;1585,6;27/08/2008 22:35:00;1582,1;-700;0;1600;1080,00000000002
51;GC;GannBoLong;;2;Long;28/08/2008 9:20:00;1591;28/08/2008 22:35:00;1588,5;-500;0;2180,00000000002;1659,99999999999
52;GC;GannBoLong;;2;Long;16/09/2008 14:10:00;1541;16/09/2008 22:35:00;1531,3;-1940,00000000001;0;2919,99999999998;440,000000000009
53;GC;GannBoLong;;2;Long;17/09/2008 15:45:00;1543,2;17/09/2008 16:20:00;1568,7;5100;0;1080,00000000002;5100
54;GC;GannBoLong;;2;Long;18/09/2008 18:55:00;1647;18/09/2008 19:05:00;1672,5;5100;0;959,999999999991;5100
55;GC;GannBoLong;;1;Long;26/09/2008 15:50:00;1657,4;26/09/2008 22:35:00;1635,1;-2230,00000000002;0;2410,00000000001;1230
56;GC;GannBoLong;;1;Long;06/10/2008 15:35:00;1628;06/10/2008 22:35:00;1615,2;-1280;0;2040,00000000001;59,9999999999909
57;GC;GannBoLong;;1;Long;07/10/2008 10:35:00;1628,6;07/10/2008 22:35:00;1638;940,000000000009;0;850;1470
58;GC;GannBoLong;;1;Long;08/10/2008 8:25:00;1643,3;08/10/2008 22:35:00;1659,1;1580;0;220,000000000005;3120
59;GC;GannBoLong;;1;Long;10/10/2008 9:25:00;1680,9;10/10/2008 18:50:00;1630,9;-5000;0;5000;500
60;GC;GannBoLong;;1;Long;28/10/2008 8:00:00;1500;28/10/2008 21:35:00;1498,7;-129,999999999995;0;2209,99999999999;570,000000000005
61;GC;GannBoLong;;1;Long;29/10/2008 13:25:00;1508,9;29/10/2008 21:35:00;1502,1;-680,000000000018;0;1180,00000000002;1600
62;GC;GannBoLong;;1;Long;30/10/2008 8:35:00;1524,9;30/10/2008 21:35:00;1490,5;-3440,00000000001;0;4230,00000000002;300
63;GC;GannBoLong;;1;Long;04/11/2008 13:35:00;1491,3;04/11/2008 22:35:00;1514,1;2280;0;320,000000000005;2760,00000000001
64;GC;GannBoLong;;1;Long;10/11/2008 14:35:00;1510,9;10/11/2008 22:35:00;1495,7;-1520;0;2060,00000000001;759,999999999991
65;GC;GannBoLong;;1;Long;14/11/2008 14:35:00;1488,8;14/11/2008 22:35:00;1490,8;200;0;389,999999999986;1480
66;GC;GannBoLong;;1;Long;19/11/2008 15:40:00;1498,3;19/11/2008 22:35:00;1483,2;-1509,99999999999;0;1730;1610,00000000001
67;GC;GannBoLong;;1;Long;21/11/2008 14:35:00;1514,4;21/11/2008 22:35:00;1549,6;3519,99999999998;0;190,000000000009;3800
68;GC;GannBoLong;;1;Long;24/11/2008 10:45:00;1556,7;24/11/2008 22:35:00;1570,2;1350;0;240,000000000009;2300
69;GC;GannBoLong;;1;Long;25/11/2008 15:00:00;1579,7;25/11/2008 22:35:00;1570,4;-929,999999999995;0;2510,00000000001;339,999999999986
70;GC;GannBoLong;;1;Long;04/12/2008 17:30:00;1534,9;04/12/2008 22:35:00;1512,2;-2270;0;2510,00000000001;179,999999999995
71;GC;GannBoLong;;1;Long;11/12/2008 7:00:00;1560,6;11/12/2008 22:35:00;1569,7;910,000000000014;0;289,999999999986;2140,00000000001
72;GC;GannBoLong;;1;Long;15/12/2008 16:20:00;1582;15/12/2008 22:35:00;1586,9;490,000000000009;0;459,999999999991;840,000000000009
