Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;MondayShort;F1;2;Short;04/02/2008 0:10:00;1678,4;04/02/2008 22:35:00;1676,8;320,000000000027;0;1579,99999999997;2680,00000000002
2;GC;MondayShort;F1;2;Short;18/02/2008 0:15:00;1674,2;18/02/2008 14:10:00;1674,9;-140,000000000009;0;1100;420,000000000027
3;GC;MondayShort;F1;2;Short;25/02/2008 0:15:00;1717,6;25/02/2008 22:35:00;1711,1;1300;0;1240,00000000001;2639,99999999996
4;GC;MondayShort;F1;2;Short;10/03/2008 0:05:00;1747,1;10/03/2008 21:35:00;1742,1;1000;0;920,000000000027;3259,99999999999
5;GC;MondayShort;F1;2;Short;10/03/2008 23:10:00;1744,9;10/03/2008 23:15:00;1744,4;100;0;59,9999999999909;200
6;GC;MondayShort;F1;2;Short;17/03/2008 23:15:00;1775,5;17/03/2008 23:20:00;1774,6;180,000000000018;0;0;219,999999999982
7;GC;MondayShort;F1;2;Short;24/03/2008 0:05:00;1682,8;24/03/2008 21:35:00;1683,8;-200;0;2720,00000000003;1540,00000000001
8;GC;MondayShort;F1;1;Short;24/03/2008 23:10:00;1684,1;24/03/2008 23:15:00;1683,9;19,9999999999818;0;30,0000000000182;39,9999999999864
9;GC;MondayShort;F1;2;Short;31/03/2008 0:10:00;1697,7;31/03/2008 22:35:00;1684,2;2700;0;2219,99999999998;3500
10;GC;MondayShort;F1;2;Short;28/04/2008 2:20:00;1654,9;28/04/2008 22:35:00;1657,3;-479,999999999973;0;1259,99999999999;480,000000000018
11;GC;MondayShort;F1;2;Short;05/05/2008 0:10:00;1624,3;05/05/2008 22:35:00;1638,6;-2859,99999999999;0;2959,99999999999;140,000000000009
12;GC;MondayShort;F1;2;Short;26/05/2008 0:10:00;1688,1;26/05/2008 14:10:00;1690;-380,000000000018;0;640,000000000009;359,999999999991
13;GC;MondayShort;F1;2;Short;02/06/2008 0:10:00;1650,4;02/06/2008 22:35:00;1653,7;-659,999999999991;0;1959,99999999999;1400
14;GC;MondayShort;F1;2;Short;09/06/2008 0:10:00;1665,8;09/06/2008 22:35:00;1655,1;2140,00000000001;0;1140,00000000001;2719,99999999998
15;GC;MondayShort;F1;2;Short;07/07/2008 0:10:00;1693,1;07/07/2008 22:35:00;1686,5;1319,99999999998;0;160,000000000036;3559,99999999999
16;GC;MondayShort;F1;2;Short;21/07/2008 0:10:00;1717,2;21/07/2008 22:35:00;1724,6;-1479,99999999997;0;2159,99999999999;500
17;GC;MondayShort;F1;2;Short;11/08/2008 0:10:00;1613,5;11/08/2008 18:20:00;1588;5100;0;1759,99999999999;5100
18;GC;MondayShort;F1;2;Short;18/08/2008 0:10:00;1548,3;18/08/2008 22:35:00;1554,7;-1280,00000000002;0;2240,00000000001;719,999999999982
19;GC;MondayShort;F1;2;Short;25/08/2008 0:15:00;1577;25/08/2008 22:35:00;1576,5;100;0;900;1259,99999999999
20;GC;MondayShort;F1;2;Short;08/09/2008 6:55:00;1568,3;08/09/2008 22:35:00;1555,9;2479,99999999997;0;840,000000000009;3579,99999999997
21;GC;MondayShort;F1;2;Short;15/09/2008 0:10:00;1527,8;15/09/2008 22:35:00;1539,7;-2380,00000000002;0;2640,00000000001;2159,99999999999
22;GC;MondayShort;F1;1;Short;22/09/2008 0:10:00;1629,8;22/09/2008 22:35:00;1657,6;-2780;0;3360,00000000001;1400
23;GC;MondayShort;F1;1;Short;29/09/2008 0:10:00;1629,7;29/09/2008 21:40:00;1679,7;-5000;0;5000;790,000000000009
24;GC;MondayShort;F1;1;Short;06/10/2008 0:10:00;1586,2;06/10/2008 22:35:00;1615,2;-2900;0;4239,99999999999;760,000000000014
25;GC;MondayShort;F1;1;Short;13/10/2008 0:15:00;1595,6;13/10/2008 22:35:00;1583,4;1219,99999999998;0;2900;2150
26;GC;MondayShort;F1;1;Short;20/10/2008 0:10:00;1536,8;20/10/2008 22:35:00;1547,3;-1050;0;2460,00000000001;159,999999999991
27;GC;MondayShort;F1;1;Short;27/10/2008 23:15:00;1480,1;27/10/2008 23:20:00;1480,3;-20,0000000000045;0;20,0000000000045;50
28;GC;MondayShort;F1;1;Short;03/11/2008 0:10:00;1478,3;03/11/2008 22:35:00;1472,6;570,000000000005;0;1080;689,999999999986
29;GC;MondayShort;F1;1;Short;10/11/2008 0:10:00;1489,1;10/11/2008 22:35:00;1495,7;-660,000000000014;0;2940,00000000001;0
30;GC;MondayShort;F1;1;Short;08/12/2008 0:10:00;1502,8;08/12/2008 22:35:00;1519,7;-1690,00000000001;0;2670;109,999999999991
31;GC;MondayShort;F1;1;Short;22/12/2008 0:10:00;1585,2;22/12/2008 22:35:00;1595,1;-989,999999999986;0;1450;29,9999999999955
32;GC;MondayShort;F1;1;Short;05/01/2009 0:15:00;1631,8;05/01/2009 22:35:00;1606,6;2520;0;29,9999999999955;4159,99999999999
33;GC;MondayShort;F1;1;Short;12/01/2009 0:15:00;1600,6;12/01/2009 22:35:00;1567,8;3280;0;90,0000000000091;3880
34;GC;MondayShort;F1;1;Short;09/02/2009 0:15:00;1654,5;09/02/2009 22:35:00;1640,6;1390,00000000001;0;129,999999999995;1809,99999999999
35;GC;MondayShort;F1;1;Short;16/02/2009 0:15:00;1684,6;16/02/2009 14:10:00;1688,1;-350;0;820,000000000005;279,999999999995
36;GC;MondayShort;F1;1;Short;23/02/2009 0:10:00;1739,4;23/02/2009 22:35:00;1737,3;210,000000000014;0;469,999999999982;1870
37;GC;MondayShort;F1;1;Short;02/03/2009 0:10:00;1687,6;02/03/2009 22:35:00;1670,5;1709,99999999999;0;1640,00000000001;2209,99999999999
38;GC;MondayShort;F1;1;Short;09/03/2009 23:15:00;1666,6;09/03/2009 23:20:00;1666,7;-10,0000000000136;0;30,0000000000182;9,99999999999091
