Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;PbGLong;Am1;2;Long;17/01/2008 16:05:00;1664,8;17/01/2008 22:35:00;1651,6;-2640,00000000001;0;2740,00000000001;259,999999999991
2;GC;PbGLong;Am1;2;Long;18/01/2008 16:05:00;1658,4;18/01/2008 22:35:00;1658;-80,0000000000182;0;1440,00000000001;400
3;GC;PbGLong;Am1;2;Long;08/02/2008 16:05:00;1689,7;08/02/2008 22:35:00;1694,7;1000;0;440,000000000009;1140,00000000001
4;GC;PbGLong;Am1;2;Long;15/02/2008 16:05:00;1684,9;15/02/2008 22:35:00;1674,4;-2100;0;3080,00000000002;139,999999999964
5;GC;PbGLong;Am1;2;Long;28/02/2008 16:15:00;1731,6;28/02/2008 22:35:00;1742,4;2160,00000000004;0;219,999999999982;2460,00000000004
6;GC;PbGLong;Am1;2;Long;29/02/2008 16:05:00;1743,9;29/02/2008 22:35:00;1743,9;0;0;1760,00000000004;359,999999999991
7;GC;PbGLong;Am1;2;Long;13/03/2008 15:15:00;1767,9;13/03/2008 21:35:00;1764,5;-680,000000000018;0;1540,00000000001;500
8;GC;PbGLong;Am1;2;Long;14/03/2008 15:05:00;1770,7;14/03/2008 21:35:00;1770,8;19,9999999999818;0;1040,00000000001;1440,00000000001
9;GC;PbGLong;Am1;2;Long;20/03/2008 15:05:00;1690,5;20/03/2008 21:35:00;1681,3;-1840,00000000001;0;2319,99999999998;1459,99999999999
10;GC;PbGLong;Am1;1;Long;03/04/2008 16:55:00;1667,9;03/04/2008 22:35:00;1670,7;279,999999999995;0;220,000000000005;839,999999999986
11;GC;PbGLong;Am1;1;Long;11/04/2008 16:05:00;1694;11/04/2008 22:35:00;1691,5;-250;0;1020;259,999999999991
12;GC;PbGLong;Am1;2;Long;25/04/2008 16:45:00;1657,9;25/04/2008 22:35:00;1650,7;-1440,00000000001;0;1660,00000000004;319,999999999982
13;GC;PbGLong;Am1;2;Long;08/05/2008 16:05:00;1643,2;08/05/2008 22:35:00;1646;559,999999999991;0;580,000000000018;1379,99999999997
14;GC;PbGLong;Am1;2;Long;15/05/2008 16:15:00;1646,3;15/05/2008 22:35:00;1643,7;-519,999999999982;0;1640,00000000001;1059,99999999999
15;GC;PbGLong;Am1;2;Long;16/05/2008 16:05:00;1661;16/05/2008 22:35:00;1666,1;1019,99999999998;0;259,999999999991;1540,00000000001
16;GC;PbGLong;Am1;2;Long;30/05/2008 16:05:00;1647,7;30/05/2008 22:35:00;1649,3;319,999999999982;0;700;819,999999999982
