Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;PdReLong;F0Tf3;2;Long;16/01/2008 14:35:00;1665,9;16/01/2008 22:35:00;1655,1;-2160,00000000004;0;3160,00000000004;1439,99999999996
2;GC;PdReLong;F0Tf3;2;Long;18/01/2008 6:05:00;1650,7;18/01/2008 22:35:00;1658;1459,99999999999;0;959,999999999991;2659,99999999999
3;GC;PdReLong;F0Tf3;2;Long;04/02/2008 19:35:00;1678,2;04/02/2008 22:35:00;1676,8;-280,000000000018;0;1020,00000000003;300
4;GC;PdReLong;F0Tf3;2;Long;05/02/2008 12:35:00;1665,5;05/02/2008 22:35:00;1661,2;-859,999999999991;0;1640,00000000001;1180,00000000002
5;GC;PdReLong;F0Tf3;2;Long;12/02/2008 15:05:00;1690,6;12/02/2008 22:35:00;1677,6;-2600;0;3139,99999999996;560,000000000036
6;GC;PdReLong;F0Tf3;2;Long;13/02/2008 11:05:00;1675,4;13/02/2008 22:35:00;1677,4;400;0;1040,00000000001;1600
7;GC;PdReLong;F0Tf3;2;Long;25/02/2008 16:35:00;1707,9;25/02/2008 22:35:00;1711,1;639,999999999964;0;700;839,999999999964
8;GC;PdReLong;F0Tf3;2;Long;26/02/2008 11:35:00;1705,3;26/02/2008 22:35:00;1720,4;3020,00000000003;0;700;3359,99999999999
9;GC;PdReLong;F0Tf3;2;Long;10/03/2008 17:35:00;1741,1;10/03/2008 21:35:00;1742,1;200;0;300;1160,00000000004
10;GC;PdReLong;F0Tf3;2;Long;20/03/2008 5:05:00;1707,8;20/03/2008 10:40:00;1682,8;-5000;0;5000;20,0000000000273
11;GC;PdReLong;F0Tf3;1;Long;08/04/2008 17:05:00;1678,5;08/04/2008 22:35:00;1682,2;370,000000000005;0;250;459,999999999991
12;GC;PdReLong;F0Tf3;1;Long;09/04/2008 14:35:00;1676,9;09/04/2008 22:35:00;1701,5;2459,99999999999;0;170,000000000005;2580
13;GC;PdReLong;F0Tf3;1;Long;11/04/2008 9:05:00;1689;11/04/2008 22:35:00;1691,5;250;0;520,000000000005;990,000000000009
14;GC;PdReLong;F0Tf3;2;Long;25/04/2008 12:05:00;1649,8;25/04/2008 22:35:00;1650,7;180,000000000018;0;340,000000000009;2459,99999999999
15;GC;PdReLong;F0Tf3;2;Long;30/04/2008 14:05:00;1633,8;30/04/2008 22:35:00;1642,5;1740,00000000001;0;1240,00000000001;2020,00000000003
16;GC;PdReLong;F0Tf3;2;Long;07/05/2008 20:05:00;1635,8;07/05/2008 22:35:00;1632,1;-740,000000000009;0;779,999999999973;180,000000000018
17;GC;PdReLong;F0Tf3;2;Long;13/05/2008 7:35:00;1642,3;13/05/2008 22:35:00;1629,4;-2579,99999999997;0;3559,99999999999;459,999999999991
18;GC;PdReLong;F0Tf3;2;Long;23/05/2008 6:05:00;1680,7;23/05/2008 22:35:00;1687,2;1300;0;459,999999999991;2379,99999999997
19;GC;PdReLong;F0Tf3;2;Long;27/05/2008 11:05:00;1687,9;27/05/2008 22:35:00;1667,8;-4020,00000000003;0;4300;39,9999999999636
20;GC;PdReLong;F0Tf3;2;Long;30/05/2008 10:05:00;1637,4;30/05/2008 22:35:00;1649,3;2379,99999999997;0;300;2879,99999999997
21;GC;PdReLong;F0Tf3;2;Long;03/06/2008 16:35:00;1645,9;03/06/2008 22:35:00;1642,1;-760,000000000036;0;860,000000000036;379,999999999973
22;GC;PdReLong;F0Tf3;2;Long;05/06/2008 8:05:00;1638,7;05/06/2008 22:35:00;1639,1;79,9999999999727;0;2400;719,999999999982
23;GC;PdReLong;F0Tf3;2;Long;10/06/2008 6:05:00;1652,3;10/06/2008 18:20:00;1627,3;-5000;0;5000;240,000000000009
24;GC;PdReLong;F0Tf3;2;Long;12/06/2008 19:35:00;1631,2;12/06/2008 22:35:00;1630;-240,000000000009;0;400;559,999999999991
25;GC;PdReLong;F0Tf3;2;Long;25/06/2008 20:35:00;1644,9;25/06/2008 22:35:00;1646,9;400;0;300;739,999999999964
26;GC;PdReLong;F0Tf3;2;Long;03/07/2008 17:05:00;1698,6;03/07/2008 22:35:00;1694,3;-859,999999999991;0;1300;420,000000000027
27;GC;PdReLong;F0Tf3;2;Long;17/07/2008 14:05:00;1718,7;17/07/2008 22:35:00;1716,3;-480,000000000018;0;1320,00000000003;4059,99999999999
28;GC;PdReLong;F0Tf3;2;Long;18/07/2008 15:05:00;1713,6;18/07/2008 22:35:00;1714,3;140,000000000009;0;439,999999999964;1800
29;GC;PdReLong;F0Tf3;2;Long;24/07/2008 17:35:00;1682,2;24/07/2008 22:35:00;1687,3;1019,99999999998;0;759,999999999991;1079,99999999997
30;GC;PdReLong;F0Tf3;2;Long;19/08/2008 4:05:00;1545,7;19/08/2008 21:50:00;1571,2;5100;0;1720,00000000003;5100
31;GC;PdReLong;F0Tf3;2;Long;25/08/2008 9:05:00;1575,8;25/08/2008 22:35:00;1576,5;140,000000000009;0;1019,99999999998;1140,00000000001
32;GC;PdReLong;F0Tf3;2;Long;26/08/2008 15:35:00;1573,1;26/08/2008 22:35:00;1579,4;1260,00000000004;0;59,9999999999909;2500
33;GC;PdReLong;F0Tf3;2;Long;09/09/2008 8:35:00;1550,6;09/09/2008 22:35:00;1529,9;-4139,99999999996;0;4259,99999999999;1700
34;GC;PdReLong;F0Tf3;2;Long;10/09/2008 7:35:00;1530,3;10/09/2008 22:35:00;1508,1;-4440,00000000001;0;4840,00000000001;1400
35;GC;PdReLong;F0Tf3;2;Long;11/09/2008 1:05:00;1507,4;11/09/2008 22:35:00;1498,1;-1860,00000000004;0;3600;839,999999999964
36;GC;PdReLong;F0Tf3;1;Long;19/09/2008 11:35:00;1591,8;19/09/2008 22:35:00;1625,9;3410,00000000001;0;250;3920
37;GC;PdReLong;F0Tf3;1;Long;24/09/2008 4:35:00;1636;24/09/2008 22:35:00;1635,9;-9,99999999999091;0;240,000000000009;2140,00000000001
38;GC;PdReLong;F0Tf3;1;Long;25/09/2008 17:05:00;1630,1;25/09/2008 22:35:00;1632,6;250;0;1030;350
39;GC;PdReLong;F0Tf3;1;Long;30/09/2008 21:05:00;1625,4;30/09/2008 22:35:00;1624,1;-130,000000000018;0;860,000000000014;39,9999999999864
40;GC;PdReLong;F0Tf3;1;Long;02/10/2008 10:35:00;1621,9;02/10/2008 22:35:00;1590,8;-3110,00000000001;0;3880,00000000002;269,999999999982
41;GC;PdReLong;F0Tf3;1;Long;03/10/2008 17:05:00;1597,8;03/10/2008 22:35:00;1589,4;-839,999999999986;0;2059,99999999999;220,000000000005
42;GC;PdReLong;F0Tf3;1;Long;17/10/2008 16:05:00;1536,4;17/10/2008 22:35:00;1535,1;-130,000000000018;0;1460,00000000001;709,999999999991
43;GC;PdReLong;F0Tf3;1;Long;21/10/2008 11:35:00;1533,2;21/10/2008 22:35:00;1521,6;-1160,00000000001;0;1720;220,000000000005
44;GC;PdReLong;F0Tf3;1;Long;23/10/2008 16:35:00;1473,4;23/10/2008 22:35:00;1470,8;-260,000000000014;0;1350;519,999999999982
45;GC;PdReLong;F0Tf3;1;Long;24/10/2008 13:05:00;1445,9;24/10/2008 18:30:00;1496,9;5100;0;570,000000000005;5100
