Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;PdReShort;F0Tf3;2;Short;01/02/2008 16:05:00;1701,1;01/02/2008 22:35:00;1678,1;4600;0;160,000000000036;4839,99999999996
2;GC;PdReShort;F0Tf3;2;Short;07/02/2008 13:35:00;1679,5;07/02/2008 22:35:00;1682;-500;0;759,999999999991;2100
3;GC;PdReShort;F0Tf3;2;Short;08/02/2008 15:35:00;1683,8;08/02/2008 22:35:00;1694,7;-2180,00000000002;0;2320,00000000003;0
4;GC;PdReShort;F0Tf3;2;Short;11/02/2008 3:35:00;1695,5;11/02/2008 22:35:00;1696,7;-240,000000000009;0;880,000000000018;1400
5;GC;PdReShort;F0Tf3;2;Short;14/02/2008 10:05:00;1683,4;14/02/2008 22:35:00;1680,7;540,000000000009;0;239,999999999964;1940,00000000001
6;GC;PdReShort;F0Tf3;2;Short;19/02/2008 5:35:00;1679,4;19/02/2008 22:35:00;1699,9;-4100;0;4759,99999999999;20,0000000000273
7;GC;PdReShort;F0Tf3;2;Short;21/02/2008 10:35:00;1716,8;21/02/2008 22:35:00;1716,5;59,9999999999909;0;2100;640,000000000009
8;GC;PdReShort;F0Tf3;2;Short;25/02/2008 11:05:00;1720,8;25/02/2008 22:35:00;1711,1;1940,00000000001;0;320,000000000027;3279,99999999997
9;GC;PdReShort;F0Tf3;2;Short;29/02/2008 7:35:00;1743;29/02/2008 22:35:00;1743,9;-180,000000000018;0;880,000000000018;1580,00000000002
10;GC;PdReShort;F0Tf3;2;Short;05/03/2008 19:05:00;1758,1;05/03/2008 22:35:00;1759,2;-220,000000000027;0;580,000000000018;719,999999999982
11;GC;PdReShort;F0Tf3;2;Short;11/03/2008 14:05:00;1749,1;11/03/2008 21:35:00;1742,8;1259,99999999999;0;160,000000000036;2839,99999999996
12;GC;PdReShort;F0Tf3;2;Short;13/03/2008 3:05:00;1753,9;13/03/2008 21:35:00;1764,5;-2119,99999999998;0;3300;460,000000000036
13;GC;PdReShort;F0Tf3;2;Short;14/03/2008 17:05:00;1769,1;14/03/2008 21:35:00;1770,8;-340,000000000009;0;460,000000000036;719,999999999982
14;GC;PdReShort;F0Tf3;2;Short;17/03/2008 14:35:00;1775,8;17/03/2008 21:35:00;1776,6;-159,999999999991;0;2020,00000000003;2559,99999999999
15;GC;PdReShort;F0Tf3;1;Short;26/03/2008 0:05:00;1708,1;26/03/2008 21:35:00;1719,9;-1180,00000000002;0;1300;450
16;GC;PdReShort;F0Tf3;1;Short;27/03/2008 1:05:00;1721,5;27/03/2008 21:40:00;1716,8;470,000000000005;0;229,999999999995;1250
17;GC;PdReShort;F0Tf3;1;Short;03/04/2008 19:05:00;1671,2;03/04/2008 22:35:00;1670,7;50;0;209,999999999991;160,000000000014
18;GC;PdReShort;F0Tf3;1;Short;04/04/2008 20:05:00;1676,3;04/04/2008 22:35:00;1680,8;-450;0;579,999999999995;100
19;GC;PdReShort;F0Tf3;1;Short;07/04/2008 4:05:00;1681,1;07/04/2008 22:35:00;1687,1;-600;0;1570;359,999999999991
20;GC;PdReShort;F0Tf3;1;Short;09/04/2008 18:35:00;1691,5;09/04/2008 22:35:00;1701,5;-1000;0;1120;0
21;GC;PdReShort;F0Tf3;2;Short;10/04/2008 14:35:00;1701,5;10/04/2008 22:40:00;1695,7;1159,99999999999;0;580,000000000018;2600
22;GC;PdReShort;F0Tf3;2;Short;15/04/2008 15:35:00;1695,7;15/04/2008 22:35:00;1694,3;280,000000000018;0;340,000000000009;680,000000000018
23;GC;PdReShort;F0Tf3;2;Short;17/04/2008 12:35:00;1714,5;17/04/2008 22:35:00;1704,1;2080,00000000002;0;540,000000000009;2219,99999999998
24;GC;PdReShort;F0Tf3;2;Short;01/05/2008 5:05:00;1643,6;01/05/2008 15:00:00;1618,1;5100;0;100;5100
25;GC;PdReShort;F0Tf3;2;Short;06/05/2008 7:05:00;1637,9;06/05/2008 22:35:00;1640,7;-559,999999999991;0;1939,99999999996;360,000000000036
26;GC;PdReShort;F0Tf3;2;Short;08/05/2008 19:35:00;1645,1;08/05/2008 22:35:00;1646;-180,000000000018;0;680,000000000018;39,9999999999636
27;GC;PdReShort;F0Tf3;2;Short;09/05/2008 14:35:00;1648,1;09/05/2008 22:35:00;1650;-380,000000000018;0;720,000000000027;2759,99999999999
28;GC;PdReShort;F0Tf3;2;Short;19/05/2008 1:35:00;1667,6;19/05/2008 22:35:00;1668,9;-260,000000000036;0;1940,00000000001;739,999999999964
29;GC;PdReShort;F0Tf3;2;Short;21/05/2008 14:35:00;1684,7;21/05/2008 22:35:00;1695,3;-2119,99999999998;0;2279,99999999997;1020,00000000003
30;GC;PdReShort;F0Tf3;2;Short;22/05/2008 1:35:00;1695,9;22/05/2008 22:35:00;1684,4;2300;0;519,999999999982;3140,00000000001
31;GC;PdReShort;F0Tf3;2;Short;02/06/2008 13:35:00;1651,1;02/06/2008 22:35:00;1653,7;-520,000000000027;0;1820,00000000003;519,999999999982
32;GC;PdReShort;F0Tf3;2;Short;06/06/2008 9:35:00;1641,7;06/06/2008 22:35:00;1664,3;-4519,99999999998;0;4559,99999999999;280,000000000018
33;GC;PdReShort;F0Tf3;2;Short;09/06/2008 2:35:00;1663,2;09/06/2008 22:35:00;1655,1;1620,00000000003;0;1659,99999999999;2200
