Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;R3BoLong;F0;2;Long;15/01/2008 15:55:00;1686,9;15/01/2008 22:35:00;1665,1;-4360,00000000004;0;4740,00000000001;759,999999999991
2;GC;R3BoLong;F0;2;Long;07/02/2008 7:35:00;1680,9;07/02/2008 22:35:00;1682;219,999999999982;0;2380,00000000002;639,999999999964
3;GC;R3BoLong;F0;2;Long;14/02/2008 8:30:00;1683,4;14/02/2008 22:35:00;1680,7;-540,000000000009;0;1940,00000000001;559,999999999991
4;GC;R3BoLong;F0;2;Long;15/02/2008 10:45:00;1684,4;15/02/2008 22:35:00;1674,4;-2000;0;2980,00000000002;700
5;GC;R3BoLong;F0;2;Long;28/02/2008 13:45:00;1732,2;28/02/2008 22:35:00;1742,4;2040,00000000001;0;820,000000000027;2340,00000000001
6;GC;R3BoLong;F0;2;Long;07/03/2008 14:20:00;1755,8;07/03/2008 22:35:00;1744,1;-2340,00000000001;0;3119,99999999998;759,999999999991
7;GC;R3BoLong;F0;2;Long;24/03/2008 14:15:00;1693,3;24/03/2008 21:35:00;1683,8;-1900;0;2779,99999999997;620,000000000027
8;GC;R3BoLong;F0;1;Long;25/03/2008 7:30:00;1696,4;25/03/2008 21:35:00;1707,8;1139,99999999999;0;300;1169,99999999998
9;GC;R3BoLong;F0;2;Long;02/04/2008 18:55:00;1661,6;02/04/2008 22:35:00;1672;2080,00000000002;0;359,999999999991;2600
10;GC;R3BoLong;F0;1;Long;09/04/2008 16:05:00;1685,4;09/04/2008 22:35:00;1701,5;1609,99999999999;0;190,000000000009;1730
11;GC;R3BoLong;F0;1;Long;11/04/2008 14:25:00;1696,5;11/04/2008 22:35:00;1691,5;-500;0;1270;240,000000000009
12;GC;R3BoLong;F0;2;Long;15/04/2008 13:55:00;1702,2;15/04/2008 22:35:00;1694,3;-1580,00000000002;0;1980,00000000002;140,000000000009
13;GC;R3BoLong;F0;2;Long;28/04/2008 16:35:00;1659,9;28/04/2008 22:35:00;1657,3;-520,000000000027;0;1040,00000000001;259,999999999991
14;GC;R3BoLong;F0;2;Long;06/05/2008 5:25:00;1639,8;06/05/2008 22:35:00;1640,7;180,000000000018;0;740,000000000009;1559,99999999999
15;GC;R3BoLong;F0;2;Long;08/05/2008 11:10:00;1636,7;08/05/2008 22:35:00;1646;1859,99999999999;0;840,000000000009;2679,99999999997
16;GC;R3BoLong;F0;2;Long;15/05/2008 14:35:00;1632,6;15/05/2008 22:35:00;1643,7;2220,00000000003;0;339,999999999964;3800
17;GC;R3BoLong;F0;2;Long;20/05/2008 14:35:00;1673,3;20/05/2008 22:35:00;1682,9;1920,00000000003;0;900;2780,00000000002
18;GC;R3BoLong;F0;2;Long;18/06/2008 9:20:00;1648,6;18/06/2008 22:35:00;1655,1;1300;0;939,999999999964;1700
19;GC;R3BoLong;F0;2;Long;20/06/2008 14:10:00;1667,3;20/06/2008 22:35:00;1663,4;-779,999999999973;0;1559,99999999999;359,999999999991
20;GC;R3BoLong;F0;2;Long;01/07/2008 12:55:00;1692,7;01/07/2008 22:35:00;1699,3;1319,99999999998;0;1040,00000000001;2919,99999999998
21;GC;R3BoLong;F0;2;Long;02/07/2008 18:00:00;1703,5;02/07/2008 22:35:00;1705,4;380,000000000018;0;280,000000000018;680,000000000018
22;GC;R3BoLong;F0;2;Long;03/07/2008 13:55:00;1706,9;03/07/2008 22:35:00;1694,3;-2520,00000000003;0;3880,00000000002;419,999999999982
23;GC;R3BoLong;F0;2;Long;09/07/2008 15:45:00;1685,8;09/07/2008 22:35:00;1688,6;559,999999999991;0;840,000000000009;740,000000000009
24;GC;R3BoLong;F0;2;Long;10/07/2008 8:30:00;1691;10/07/2008 22:35:00;1707,4;3280,00000000002;0;1119,99999999998;3440,00000000001
25;GC;R3BoLong;F0;2;Long;16/07/2008 15:00:00;1740,4;16/07/2008 22:35:00;1719,5;-4180,00000000002;0;4640,00000000001;219,999999999982
26;GC;R3BoLong;F0;2;Long;13/08/2008 17:50:00;1582,1;13/08/2008 22:35:00;1583;180,000000000018;0;859,999999999991;780,000000000018
27;GC;R3BoLong;F0;2;Long;18/08/2008 8:30:00;1555,6;18/08/2008 22:35:00;1554,7;-179,999999999973;0;2119,99999999998;780,000000000018
28;GC;R3BoLong;F0;2;Long;19/08/2008 17:25:00;1558,6;19/08/2008 22:35:00;1568,9;2060,00000000004;0;579,999999999973;2780,00000000002
29;GC;R3BoLong;F0;2;Long;21/08/2008 8:25:00;1573,5;21/08/2008 22:35:00;1591,3;3559,99999999999;0;219,999999999982;4219,99999999998
30;GC;R3BoLong;F0;2;Long;27/08/2008 10:10:00;1585,6;27/08/2008 22:35:00;1582,1;-700;0;1600;1080,00000000002
31;GC;R3BoLong;F0;2;Long;17/09/2008 15:45:00;1540,1;17/09/2008 16:15:00;1565,6;5100;0;459,999999999991;5100
32;GC;R3BoLong;F0;1;Long;22/09/2008 12:30:00;1636,9;22/09/2008 22:35:00;1657,6;2069,99999999998;0;850;2650
33;GC;R3BoLong;F0;1;Long;26/09/2008 14:30:00;1639;26/09/2008 22:35:00;1635,1;-390,000000000009;0;570,000000000005;3070
34;GC;R3BoLong;F0;1;Long;29/09/2008 15:50:00;1644,1;29/09/2008 22:35:00;1661,1;1700;0;439,999999999986;3750
35;GC;R3BoLong;F0;1;Long;03/10/2008 14:30:00;1599,3;03/10/2008 22:35:00;1589,4;-989,999999999986;0;2720;300
36;GC;R3BoLong;F0;1;Long;27/10/2008 18:25:00;1497,4;27/10/2008 21:35:00;1480,5;-1690,00000000001;0;1750;0
37;GC;R3BoLong;F0;1;Long;28/10/2008 7:45:00;1497,4;28/10/2008 21:35:00;1498,7;129,999999999995;0;1950;829,999999999995
38;GC;R3BoLong;F0;1;Long;04/11/2008 11:30:00;1483,9;04/11/2008 22:35:00;1514,1;3019,99999999998;0;270,000000000005;3500
39;GC;R3BoLong;F0;1;Long;06/11/2008 14:55:00;1507,5;06/11/2008 22:35:00;1481,8;-2570;0;3040,00000000001;340,000000000009
40;GC;R3BoLong;F0;1;Long;10/11/2008 9:35:00;1502,7;10/11/2008 22:35:00;1495,7;-700;0;1240,00000000001;1580
41;GC;R3BoLong;F0;1;Long;19/11/2008 15:15:00;1494;19/11/2008 22:35:00;1483,2;-1080;0;1300;2040,00000000001
42;GC;R3BoLong;F0;1;Long;20/11/2008 18:30:00;1500,4;20/11/2008 22:35:00;1494,4;-600;0;710,000000000014;259,999999999991
43;GC;R3BoLong;F0;1;Long;21/11/2008 7:30:00;1503;21/11/2008 22:35:00;1549,6;4659,99999999999;0;279,999999999995;4940,00000000001
44;GC;R3BoLong;F0;1;Long;09/12/2008 18:10:00;1524,2;09/12/2008 22:35:00;1522,9;-129,999999999995;0;550;320,000000000005
45;GC;R3BoLong;F0;1;Long;10/12/2008 7:55:00;1527,4;10/12/2008 22:35:00;1556,7;2930;0;130,000000000018;3319,99999999998
46;GC;R3BoLong;F0;1;Long;15/12/2008 16:20:00;1580,5;15/12/2008 22:35:00;1586,9;640,000000000009;0;309,999999999991;990,000000000009
47;GC;R3BoLong;F0;1;Long;16/12/2008 16:35:00;1588,2;16/12/2008 22:35:00;1605,7;1750;0;850;1930
48;GC;R3BoLong;F0;1;Long;22/12/2008 14:55:00;1598,1;22/12/2008 22:35:00;1595,1;-300;0;889,999999999986;160,000000000014
49;GC;R3BoLong;F0;1;Long;26/12/2008 14:35:00;1597,2;26/12/2008 22:35:00;1617;1980;0;500;2350
50;GC;R3BoLong;F0;1;Long;08/01/2009 14:45:00;1596,7;08/01/2009 22:35:00;1605,4;870,000000000005;0;260,000000000014;1530
51;GC;R3BoLong;F0;1;Long;23/01/2009 10:45:00;1609,9;23/01/2009 22:35:00;1646,7;3680;0;470,000000000005;4059,99999999999
52;GC;R3BoLong;F0;1;Long;05/02/2009 10:05:00;1655,4;05/02/2009 22:35:00;1660,5;509,999999999991;0;190,000000000009;1539,99999999999
53;GC;R3BoLong;F0;1;Long;06/02/2009 14:35:00;1665,3;06/02/2009 22:35:00;1656,9;-839,999999999986;0;1539,99999999999;110,000000000014
54;GC;R3BoLong;F0;1;Long;11/02/2009 9:10:00;1664,2;11/02/2009 22:35:00;1684,7;2050;0;310,000000000014;2930
55;GC;R3BoLong;F0;1;Long;16/02/2009 8:40:00;1688,6;16/02/2009 14:10:00;1688,1;-50;0;450;420,000000000005
56;GC;R3BoLong;F0;1;Long;17/02/2009 4:10:00;1692,8;17/02/2009 22:35:00;1715,6;2280;0;159,999999999991;2710,00000000001
57;GC;R3BoLong;F0;1;Long;04/03/2009 14:25:00;1662,9;04/03/2009 22:35:00;1652,1;-1080,00000000002;0;1800;529,999999999995
58;GC;R3BoLong;F0;1;Long;11/03/2009 16:40:00;1650,4;11/03/2009 21:35:00;1650,4;0;0;280,000000000018;789,999999999986
59;GC;R3BoLong;F0;1;Long;12/03/2009 4:45:00;1658,3;12/03/2009 21:35:00;1671,6;1330;0;659,999999999991;1780
60;GC;R3BoLong;F0;1;Long;01/04/2009 13:05:00;1668,7;01/04/2009 22:35:00;1670,6;189,999999999986;0;600;929,999999999995
61;GC;R3BoLong;F0;1;Long;08/04/2009 6:25:00;1629,1;08/04/2009 22:35:00;1624,2;-489,999999999986;0;769,999999999982;480,000000000018
62;GC;R3BoLong;F0;2;Long;13/04/2009 4:25:00;1630;13/04/2009 22:35:00;1637,2;1440,00000000001;0;319,999999999982;2680,00000000002
63;GC;R3BoLong;F0;2;Long;15/04/2009 12:25:00;1637,1;15/04/2009 22:35:00;1635,3;-359,999999999991;0;1739,99999999996;1440,00000000001
64;GC;R3BoLong;F0;2;Long;21/04/2009 8:30:00;1631,9;21/04/2009 22:35:00;1626,1;-1160,00000000004;0;2040,00000000001;1339,99999999996
65;GC;R3BoLong;F0;2;Long;22/04/2009 14:20:00;1631,2;22/04/2009 22:35:00;1633,2;400;0;980,000000000018;1159,99999999999
66;GC;R3BoLong;F0;2;Long;23/04/2009 10:05:00;1638;23/04/2009 22:35:00;1646,7;1740,00000000001;0;759,999999999991;2919,99999999998
67;GC;R3BoLong;F0;2;Long;29/04/2009 12:35:00;1640;29/04/2009 22:35:00;1642,4;480,000000000018;0;940,000000000009;1240,00000000001
68;GC;R3BoLong;F0;2;Long;04/05/2009 15:35:00;1637,7;04/05/2009 22:35:00;1644,2;1300;0;740,000000000009;2559,99999999999
69;GC;R3BoLong;F0;2;Long;05/05/2009 13:30:00;1649,4;05/05/2009 22:35:00;1639,5;-1980,00000000002;0;2800;1900
70;GC;R3BoLong;F0;2;Long;07/05/2009 7:35:00;1655,7;07/05/2009 22:35:00;1653,6;-420,000000000027;0;920,000000000027;2600
71;GC;R3BoLong;F0;2;Long;08/05/2009 14:20:00;1661,3;08/05/2009 22:35:00;1658,1;-640,000000000009;0;2719,99999999998;380,000000000018
72;GC;R3BoLong;F0;2;Long;12/05/2009 9:45:00;1658,7;12/05/2009 22:35:00;1666,3;1519,99999999998;0;440,000000000009;1679,99999999997
73;GC;R3BoLong;F0;3;Long;14/05/2009 18:05:00;1670,4;14/05/2009 22:35:00;1668,5;-570,000000000027;0;810,000000000014;359,999999999945
74;GC;R3BoLong;F0;3;Long;20/05/2009 9:55:00;1672,1;20/05/2009 22:35:00;1680,9;2640,00000000005;0;719,999999999959;3330,00000000004
75;GC;R3BoLong;F0;3;Long;27/05/2009 16:50:00;1697,1;27/05/2009 22:35:00;1692,2;-1469,99999999996;0;2219,99999999996;1410,00000000001
76;GC;R3BoLong;F0;3;Long;28/05/2009 15:25:00;1701,8;28/05/2009 22:35:00;1701,3;-150;0;1500;1589,99999999999
77;GC;R3BoLong;F0;3;Long;02/06/2009 13:45:00;1725,6;02/06/2009 22:35:00;1723,8;-539,999999999986;0;1529,99999999997;1050
78;GC;R3BoLong;F0;3;Long;03/06/2009 7:15:00;1729,1;03/06/2009 18:05:00;1712,4;-5009,99999999995;0;5009,99999999995;1140,00000000005
79;GC;R3BoLong;F0;3;Long;09/06/2009 13:50:00;1697,3;09/06/2009 22:35:00;1696,2;-329,999999999973;0;1200;2400
