Trade;Instrument;Strategy;Version;Qty;Direction;Entry time;Entry price;Exit time;ExitPrice;Profit;Commission;MAE;MFE
1;GC;R3BoShort;F0;2;Short;04/02/2008 10:10:00;1676,9;04/02/2008 21:05:00;1675,4;300;0;559,999999999991;2380,00000000002
2;GC;R3BoShort;F0;2;Short;05/02/2008 10:15:00;1665;05/02/2008 21:05:00;1660,2;959,999999999991;0;1280,00000000002;1540,00000000001
3;GC;R3BoShort;F0;2;Short;12/02/2008 13:55:00;1688,5;12/02/2008 21:05:00;1678,9;1919,99999999998;0;980,000000000018;2480,00000000002
4;GC;R3BoShort;F0;2;Short;22/02/2008 16:15:00;1712,6;22/02/2008 21:05:00;1715,3;-540,000000000009;0;1660,00000000004;1119,99999999998
5;GC;R3BoShort;F0;2;Short;25/02/2008 15:50:00;1714;25/02/2008 21:05:00;1710,8;640,000000000009;0;1059,99999999999;1919,99999999998
6;GC;R3BoShort;F0;2;Short;04/03/2008 17:10:00;1750,4;04/03/2008 21:05:00;1730,9;3900;0;259,999999999991;4640,00000000001
7;GC;R3BoShort;F0;1;Short;28/03/2008 13:35:00;1709,4;28/03/2008 20:10:00;1699;1040,00000000001;0;150;1870
8;GC;R3BoShort;F0;1;Short;09/04/2008 9:35:00;1674,5;09/04/2008 21:05:00;1700,9;-2640,00000000001;0;2820;479,999999999995
9;GC;R3BoShort;F0;2;Short;18/04/2008 12:05:00;1703,4;18/04/2008 14:30:00;1677,9;5100;0;119,999999999982;5100
10;GC;R3BoShort;F0;2;Short;23/04/2008 11:50:00;1679,6;23/04/2008 21:05:00;1668,7;2179,99999999997;0;560,000000000036;3459,99999999999
11;GC;R3BoShort;F0;2;Short;29/04/2008 9:35:00;1652,5;29/04/2008 21:05:00;1637,3;3040,00000000001;0;200;3240,00000000001
12;GC;R3BoShort;F0;2;Short;01/05/2008 11:35:00;1627,6;01/05/2008 21:05:00;1617,1;2100;0;1100;3200
13;GC;R3BoShort;F0;2;Short;13/05/2008 6:55:00;1641,6;13/05/2008 21:05:00;1631,7;1979,99999999997;0;600;3419,99999999998
14;GC;R3BoShort;F0;2;Short;27/05/2008 9:45:00;1687,1;27/05/2008 21:05:00;1667,8;3859,99999999999;0;220,000000000027;4139,99999999996
15;GC;R3BoShort;F0;2;Short;02/06/2008 10:05:00;1644,2;02/06/2008 21:05:00;1655;-2159,99999999999;0;3200;159,999999999991
16;GC;R3BoShort;F0;2;Short;05/06/2008 5:50:00;1638,2;05/06/2008 21:05:00;1638;40,0000000000091;0;819,999999999982;2300
17;GC;R3BoShort;F0;2;Short;10/06/2008 9:00:00;1649,8;10/06/2008 21:05:00;1629,2;4119,99999999998;0;540,000000000009;4819,99999999998
18;GC;R3BoShort;F0;2;Short;12/06/2008 7:50:00;1632,7;12/06/2008 21:05:00;1633;-59,9999999999909;0;559,999999999991;2820,00000000003
19;GC;R3BoShort;F0;2;Short;13/06/2008 12:45:00;1621,2;13/06/2008 21:05:00;1632,7;-2300;0;2340,00000000001;140,000000000009
20;GC;R3BoShort;F0;2;Short;23/06/2008 14:25:00;1661,1;23/06/2008 21:05:00;1644,9;3239,99999999996;0;380,000000000018;4939,99999999996
21;GC;R3BoShort;F0;2;Short;17/07/2008 12:40:00;1717,2;17/07/2008 21:05:00;1714,6;520,000000000027;0;4359,99999999999;1020,00000000003
22;GC;R3BoShort;F0;2;Short;18/07/2008 14:15:00;1714,1;18/07/2008 21:05:00;1716,1;-400;0;1700;979,999999999973
23;GC;R3BoShort;F0;2;Short;25/07/2008 16:05:00;1678,4;25/07/2008 21:05:00;1688,1;-1939,99999999996;0;2200;180,000000000018
24;GC;R3BoShort;F0;2;Short;14/08/2008 15:05:00;1577,8;14/08/2008 21:05:00;1566;2359,99999999999;0;220,000000000027;3540,00000000001
25;GC;R3BoShort;F0;2;Short;25/08/2008 14:25:00;1572,1;25/08/2008 21:05:00;1575,9;-760,000000000036;0;1880,00000000002;279,999999999973
26;GC;R3BoShort;F0;2;Short;09/09/2008 7:30:00;1550,4;09/09/2008 21:05:00;1535,7;2940,00000000001;0;1739,99999999996;4120,00000000003
27;GC;R3BoShort;F0;1;Short;25/09/2008 16:20:00;1634,6;25/09/2008 21:05:00;1631,5;309,999999999991;0;600;1619,99999999998
28;GC;R3BoShort;F0;1;Short;02/10/2008 9:25:00;1619,2;02/10/2008 21:05:00;1598;2120;0;539,999999999986;3610,00000000001
29;GC;R3BoShort;F0;1;Short;09/10/2008 15:40:00;1634,6;09/10/2008 21:05:00;1639,3;-470,000000000005;0;1120;209,999999999991
30;GC;R3BoShort;F0;1;Short;16/10/2008 9:45:00;1582,7;16/10/2008 21:05:00;1550,6;3210,00000000001;0;920,000000000005;4640,00000000001
31;GC;R3BoShort;F0;1;Short;21/10/2008 9:50:00;1535,7;21/10/2008 21:05:00;1523,6;1210,00000000001;0;370,000000000005;1970
32;GC;R3BoShort;F0;1;Short;31/10/2008 8:10:00;1478,2;31/10/2008 20:05:00;1474,4;379,999999999995;0;1309,99999999999;1150
33;GC;R3BoShort;F0;1;Short;04/11/2008 4:50:00;1471,4;04/11/2008 21:05:00;1507,5;-3609,99999999999;0;4319,99999999998;0
34;GC;R3BoShort;F0;1;Short;06/11/2008 5:10:00;1485,3;06/11/2008 21:05:00;1485,3;0;0;2560,00000000001;820,000000000005
35;GC;R3BoShort;F0;1;Short;18/11/2008 13:40:00;1481,6;18/11/2008 21:05:00;1483,4;-180,000000000018;0;1360,00000000001;169,999999999982
36;GC;R3BoShort;F0;1;Short;26/11/2008 16:40:00;1558,6;26/11/2008 21:05:00;1563,9;-530,000000000018;0;590,000000000009;219,999999999982
37;GC;R3BoShort;F0;1;Short;28/11/2008 10:35:00;1559,7;28/11/2008 14:10:00;1557,3;240,000000000009;0;239,999999999986;240,000000000009
38;GC;R3BoShort;F0;1;Short;03/12/2008 11:15:00;1520;03/12/2008 21:05:00;1518,3;170,000000000005;0;1070;920,000000000005
39;GC;R3BoShort;F0;1;Short;04/12/2008 13:55:00;1510,8;04/12/2008 21:05:00;1512,8;-200;0;2590,00000000001;109,999999999991
